symbol,entryDay,entryPrice,exitDay,exitPrice,profit,Profit %,Invested
3888,2016-04-07,17.558,2016-05-23,13.550,-2283.0,-22.83,10000.0
3888,2017-02-09,16.623,2017-08-18,19.307,1614.0,16.14,10000.0
3888,2018-06-07,25.316,2018-06-29,21.436,-1533.0,-15.33,10000.0
3888,2019-02-12,15.073,2019-07-04,16.664,1055.0,10.55,10000.0
3888,2019-09-04,15.985,2020-11-03,39.677,14821.0,148.21,10000.0
3888,2020-12-17,41.876,2021-06-09,51.994,2416.0,24.16,10000.0
3888,2022-01-13,36.298,2022-02-23,30.117,-1703.0,-17.03,10000.0
3888,2023-11-07,29.205,2023-11-29,25.592,-1237.0,-12.37,10000.0
3888,2024-09-20,22.001,2024-10-18,25.684,1674.0,16.74,10000.0
3888,2025-02-05,41.562,2025-04-08,36.187,-1293.0,-12.93,10000.0
