symbol,genome_id,entryDay,entryPrice,exitDay,exitPrice,profit,Profit %,Invested
66,G_000,2009-03-18,9.789,2010-02-10,14.956,5278.0,52.78,10000.0
66,G_000,2010-03-02,15.235,2010-05-10,15.356,80.0,0.8,10000.0
66,G_000,2010-09-08,16.315,2010-11-24,16.173,-87.0,-0.87,10000.0
66,G_000,2011-03-09,16.883,2011-05-09,16.170,-422.0,-4.22,10000.0
66,G_000,2011-06-01,16.604,2011-06-14,15.708,-539.0,-5.39,10000.0
66,G_000,2012-03-01,16.091,2012-05-10,15.796,-183.0,-1.83,10000.0
66,G_000,2012-10-25,18.035,2013-03-18,18.364,183.0,1.83,10000.0
66,G_000,2014-06-05,18.617,2015-07-09,22.331,1995.0,19.95,10000.0
66,G_000,2015-12-23,24.321,2016-01-22,22.952,-563.0,-5.63,10000.0
66,G_000,2016-02-25,24.223,2016-11-21,27.713,1441.0,14.41,10000.0
66,G_000,2017-03-30,30.911,2017-09-06,34.769,1248.0,12.48,10000.0
66,G_000,2017-09-12,35.378,2017-11-17,34.541,-237.0,-2.37,10000.0
66,G_000,2017-12-01,34.997,2018-02-05,33.476,-435.0,-4.35,10000.0
66,G_000,2018-08-01,34.007,2018-08-09,31.990,-593.0,-5.93,10000.0
66,G_000,2019-02-12,34.221,,Open position,205.0,2.05,10000.0
4,G_000,2009-03-24,3.599,2010-05-20,7.385,10522.0,105.22,10000.0
4,G_000,2010-06-22,8.373,2010-08-26,8.454,97.0,0.97,10000.0
4,G_000,2010-09-07,8.972,2011-04-28,12.435,3859.0,38.59,10000.0
4,G_000,2011-07-11,11.735,2011-08-10,10.711,-873.0,-8.73,10000.0
4,G_000,2012-02-02,9.627,2012-04-11,8.917,-737.0,-7.37,10000.0
4,G_000,2012-04-27,9.896,2012-05-17,9.015,-890.0,-8.9,10000.0
4,G_000,2012-06-12,9.408,2013-07-23,14.692,5616.0,56.16,10000.0
4,G_000,2013-09-23,15.944,2013-11-06,14.441,-943.0,-9.43,10000.0
4,G_000,2014-07-24,13.714,2014-09-29,13.244,-343.0,-3.43,10000.0
4,G_000,2015-01-05,13.209,2015-03-12,12.521,-520.0,-5.2,10000.0
4,G_000,2016-06-10,11.495,2017-09-22,18.393,6001.0,60.01,10000.0
4,G_000,2018-06-19,22.419,2018-08-13,20.576,-822.0,-8.22,10000.0
4,G_000,2019-01-28,19.981,,Open position,1106.0,11.06,10000.0
3,G_000,2009-03-26,2.568,2010-02-04,3.707,4437.0,44.37,10000.0
3,G_000,2010-06-24,4.723,2010-08-30,4.601,-259.0,-2.59,10000.0
3,G_000,2010-09-07,4.767,2010-11-12,4.683,-176.0,-1.76,10000.0
3,G_000,2011-07-05,4.917,2011-08-10,4.660,-524.0,-5.24,10000.0
3,G_000,2012-01-09,5.043,2012-05-17,5.065,44.0,0.44,10000.0
3,G_000,2012-09-20,6.014,2013-06-14,6.388,622.0,6.22,10000.0
3,G_000,2014-07-03,6.708,2014-09-23,6.770,92.0,0.92,10000.0
3,G_000,2015-03-27,7.013,2015-06-10,7.042,42.0,0.42,10000.0
3,G_000,2016-05-31,6.527,2016-12-23,6.733,315.0,3.15,10000.0
3,G_000,2017-03-28,7.654,2017-09-26,8.160,661.0,6.61,10000.0
3,G_000,2017-12-01,8.572,2018-02-08,8.294,-325.0,-3.25,10000.0
1,G_000,2009-10-21,30.239,2009-11-06,27.323,-964.0,-9.64,10000.0
1,G_000,2009-12-04,28.229,2010-01-29,26.204,-717.0,-7.17,10000.0
1,G_000,2010-03-02,27.436,2010-05-10,26.148,-470.0,-4.7,10000.0
1,G_000,2011-06-01,36.190,2011-06-21,32.797,-938.0,-9.38,10000.0
1,G_000,2011-07-29,35.417,2011-08-09,30.952,-1261.0,-12.61,10000.0
1,G_000,2012-01-13,28.870,2012-04-12,29.020,52.0,0.52,10000.0
1,G_000,2012-07-03,29.375,2013-05-15,36.090,2286.0,22.86,10000.0
1,G_000,2014-02-28,38.710,2014-11-19,47.751,2336.0,23.36,10000.0
1,G_000,2015-10-16,69.076,2015-11-16,64.518,-660.0,-6.6,10000.0
1,G_000,2016-03-07,63.426,2016-04-20,62.303,-177.0,-1.77,10000.0
1,G_000,2017-02-28,63.812,2017-11-07,67.142,522.0,5.22,10000.0
5,G_000,2009-07-20,29.028,2010-03-11,34.892,2020.0,20.2,10000.0
5,G_000,2010-04-16,36.480,2010-04-29,34.176,-632.0,-6.32,10000.0
5,G_000,2010-11-08,37.844,2010-11-18,35.922,-508.0,-5.08,10000.0
5,G_000,2011-01-13,38.480,2011-03-18,35.269,-834.0,-8.34,10000.0
5,G_000,2012-02-03,30.740,2012-04-12,31.046,100.0,1.0,10000.0
5,G_000,2012-05-02,33.197,2012-05-18,29.759,-1036.0,-10.36,10000.0
5,G_000,2012-06-18,31.932,2012-07-25,28.979,-925.0,-9.25,10000.0
5,G_000,2012-10-05,35.548,2013-09-11,42.866,2059.0,20.59,10000.0
5,G_000,2013-10-31,42.781,2013-12-17,41.624,-270.0,-2.7,10000.0
5,G_000,2014-01-09,43.082,2014-02-04,39.662,-794.0,-7.94,10000.0
5,G_000,2014-09-01,43.596,2014-10-03,40.698,-665.0,-6.65,10000.0
5,G_000,2016-08-04,30.674,2017-11-06,48.119,5687.0,56.87,10000.0
5,G_000,2017-12-04,49.426,2018-03-06,49.826,81.0,0.81,10000.0
11,G_000,2009-07-28,55.309,2009-09-30,52.521,-504.0,-5.04,10000.0
11,G_000,2009-11-09,54.271,2010-01-14,54.263,-2.0,-0.02,10000.0
11,G_000,2011-05-20,63.260,2011-07-27,62.850,-65.0,-0.65,10000.0
11,G_000,2012-02-29,57.096,2012-05-09,56.619,-84.0,-0.84,10000.0
11,G_000,2012-06-18,56.951,2013-06-10,67.221,1803.0,18.03,10000.0
11,G_000,2013-10-16,72.635,2013-12-19,70.857,-245.0,-2.45,10000.0
11,G_000,2014-02-26,72.116,2014-05-09,72.541,59.0,0.59,10000.0
11,G_000,2014-08-26,78.652,2014-09-30,74.444,-535.0,-5.35,10000.0
11,G_000,2015-12-18,90.448,2016-01-08,85.913,-501.0,-5.01,10000.0
11,G_000,2016-06-02,90.944,2016-06-17,85.729,-573.0,-5.73,10000.0
11,G_000,2016-10-07,92.467,2018-01-05,132.503,4330.0,43.3,10000.0
38,G_000,2009-04-16,1.387,2010-05-07,3.322,13954.0,139.54,10000.0
38,G_000,2010-07-13,3.380,2011-06-13,6.541,9350.0,93.5,10000.0
38,G_000,2011-07-18,7.576,2011-08-08,6.115,-1928.0,-19.28,10000.0
38,G_000,2012-01-30,6.027,2012-04-03,5.543,-804.0,-8.04,10000.0
38,G_000,2012-08-08,4.772,2012-09-05,4.126,-1354.0,-13.54,10000.0
38,G_000,2012-10-10,4.603,2013-04-03,4.625,48.0,0.48,10000.0
38,G_000,2013-10-22,4.438,2013-12-31,4.430,-17.0,-0.17,10000.0
38,G_000,2014-04-11,4.069,2014-04-29,3.398,-1648.0,-16.48,10000.0
38,G_000,2015-03-31,4.366,2015-07-03,4.405,90.0,0.9,10000.0
38,G_000,2015-10-19,3.995,2015-12-23,3.872,-309.0,-3.09,10000.0
38,G_000,2016-08-17,3.349,2016-11-01,3.411,187.0,1.87,10000.0
144,G_000,2009-03-17,6.418,2009-11-25,11.118,7323.0,73.23,10000.0
