symbol,match_type,buy_match,sell_match,direction_match,orig_entryDay,new_entryDay,orig_entryPrice,new_entryPrice,entry_price_diff,orig_exitDay,new_exitDay,exit_day_diff_days,orig_exitPrice,new_exitPrice,exit_price_diff,orig_profit_pct,new_profit_pct,profit_pct_diff,orig_profit,new_profit,orig_direction,new_direction
1,matched,exact,exact,True,2009-10-21,2009-10-21,30.239,30.239,0.0,2009-11-06,2009-11-06,0.0,27.323,27.323,0.0,-9.64,-9.64,0.0,-964.0,-964.0,lose,lose
1,matched,exact,exact,True,2009-12-04,2009-12-04,28.229,28.229,0.0,2010-01-29,2010-01-29,0.0,26.204,26.204,0.0,-7.17,-7.17,0.0,-717.0,-717.0,lose,lose
1,matched,exact,exact,True,2010-03-02,2010-03-02,27.436,27.436,0.0,2010-05-10,2010-05-10,0.0,26.148,26.148,0.0,-4.7,-4.7,0.0,-470.0,-470.0,lose,lose
1,matched,exact,exact,True,2011-06-01,2011-06-01,36.19,36.19,0.0,2011-06-21,2011-06-21,0.0,32.797,32.797,0.0,-9.38,-9.38,0.0,-938.0,-938.0,lose,lose
1,matched,exact,exact,True,2011-07-29,2011-07-29,35.417,35.417,0.0,2011-08-09,2011-08-09,0.0,30.952,30.952,0.0,-12.61,-12.61,0.0,-1261.0,-1261.0,lose,lose
1,matched,exact,exact,True,2012-01-13,2012-01-13,28.87,28.87,0.0,2012-04-12,2012-04-12,0.0,29.020,29.020,0.0,0.52,0.52,0.0,52.0,52.0,win,win
1,matched,exact,exact,True,2012-07-03,2012-07-03,29.375,29.375,0.0,2013-05-15,2013-05-15,0.0,36.090,36.090,0.0,22.86,22.86,0.0,2286.0,2286.0,win,win
1,matched,exact,exact,True,2014-02-28,2014-02-28,38.71,38.71,0.0,2014-11-19,2014-11-19,0.0,47.751,47.751,0.0,23.36,23.36,0.0,2336.0,2336.0,win,win
1,matched,exact,exact,True,2015-10-16,2015-10-16,69.076,69.076,0.0,2015-11-16,2015-11-16,0.0,64.518,64.518,0.0,-6.6,-6.6,0.0,-660.0,-660.0,lose,lose
1,matched,exact,exact,True,2016-03-07,2016-03-07,63.426,63.426,0.0,2016-04-20,2016-04-20,0.0,62.303,62.303,0.0,-1.77,-1.77,0.0,-177.0,-177.0,lose,lose
1,matched,exact,exact,True,2017-02-28,2017-02-28,63.812,63.812,0.0,2017-11-07,2017-11-07,0.0,67.142,67.142,0.0,5.22,5.22,0.0,522.0,522.0,win,win
2,matched,exact,exact,True,2010-01-06,2010-01-06,27.433,27.433,0.0,2011-03-18,2011-03-18,0.0,33.650,33.650,0.0,22.66,22.66,0.0,2266.0,2266.0,win,win
2,matched,exact,exact,True,2012-03-01,2012-03-01,38.298,38.298,0.0,2012-05-10,2012-05-10,0.0,37.813,37.813,0.0,-1.27,-1.27,0.0,-127.0,-127.0,lose,lose
2,matched,exact,exact,True,2012-06-20,2012-06-20,37.527,37.527,0.0,2012-08-24,2012-08-24,0.0,37.469,37.469,0.0,-0.15,-0.15,0.0,-15.0,-15.0,lose,lose
2,matched,exact,exact,True,2012-11-23,2012-11-23,38.648,38.648,0.0,2013-01-31,2013-01-31,0.0,38.543,38.543,0.0,-0.27,-0.27,0.0,-27.0,-27.0,lose,lose
2,matched,exact,exact,True,2013-11-27,2013-11-27,38.311,38.311,0.0,2013-12-20,2013-12-20,0.0,36.902,36.902,0.0,-3.68,-3.68,0.0,-368.0,-368.0,lose,lose
2,matched,exact,exact,True,2014-08-21,2014-08-21,41.78,41.78,0.0,2014-09-16,2014-09-16,0.0,40.491,40.491,0.0,-3.09,-3.09,0.0,-309.0,-309.0,lose,lose
2,matched,exact,exact,True,2015-08-05,2015-08-05,43.208,43.208,0.0,2015-08-25,2015-08-25,0.0,40.811,40.811,0.0,-5.55,-5.55,0.0,-555.0,-555.0,lose,lose
2,matched,exact,exact,True,2016-02-03,2016-02-03,43.326,43.326,0.0,2016-11-17,2016-11-17,0.0,49.854,49.854,0.0,15.07,15.07,0.0,1507.0,1507.0,win,win
2,matched,exact,exact,True,2017-03-24,2017-03-24,56.004,56.004,0.0,2017-08-22,2017-08-22,0.0,57.198,57.198,0.0,2.13,2.13,0.0,213.0,213.0,win,win
2,matched,exact,new_open,True,2018-12-18,2018-12-18,65.808,65.808,0.0,,,,Open position,Open position,,2.79,2.79,0.0,279.0,279.0,win,win
3,matched,exact,exact,True,2009-03-26,2009-03-26,2.568,2.568,0.0,2010-02-04,2010-02-04,0.0,3.707,3.707,0.0,44.37,44.37,0.0,4437.0,4437.0,win,win
3,matched,exact,exact,True,2010-06-24,2010-06-24,4.723,4.723,0.0,2010-08-30,2010-08-30,0.0,4.601,4.601,0.0,-2.59,-2.59,0.0,-259.0,-259.0,lose,lose
3,matched,exact,exact,True,2010-09-07,2010-09-07,4.767,4.767,0.0,2010-11-12,2010-11-12,0.0,4.683,4.683,0.0,-1.76,-1.76,0.0,-176.0,-176.0,lose,lose
3,matched,exact,exact,True,2011-07-05,2011-07-05,4.917,4.917,0.0,2011-08-10,2011-08-10,0.0,4.660,4.660,0.0,-5.24,-5.24,0.0,-524.0,-524.0,lose,lose
3,matched,exact,exact,True,2012-01-09,2012-01-09,5.043,5.043,0.0,2012-05-17,2012-05-17,0.0,5.065,5.065,0.0,0.44,0.44,0.0,44.0,44.0,win,win
3,matched,exact,exact,True,2012-09-20,2012-09-20,6.014,6.014,0.0,2013-06-14,2013-06-14,0.0,6.388,6.388,0.0,6.22,6.22,0.0,622.0,622.0,win,win
3,matched,exact,exact,True,2014-07-03,2014-07-03,6.708,6.708,0.0,2014-09-23,2014-09-23,0.0,6.770,6.770,0.0,0.92,0.92,0.0,92.0,92.0,win,win
3,matched,exact,exact,True,2015-03-27,2015-03-27,7.013,7.013,0.0,2015-06-10,2015-06-10,0.0,7.042,7.042,0.0,0.42,0.42,0.0,42.0,42.0,win,win
3,matched,exact,exact,True,2016-05-31,2016-05-31,6.527,6.527,0.0,2016-12-23,2016-12-23,0.0,6.733,6.733,0.0,3.15,3.15,0.0,315.0,315.0,win,win
3,matched,exact,exact,True,2017-03-28,2017-03-28,7.654,7.654,0.0,2017-09-26,2017-09-26,0.0,8.160,8.160,0.0,6.61,6.61,0.0,661.0,661.0,win,win
3,matched,exact,exact,True,2017-12-01,2017-12-01,8.572,8.572,0.0,2018-02-08,2018-02-08,0.0,8.294,8.294,0.0,-3.25,-3.25,0.0,-325.0,-325.0,lose,lose
4,matched,exact,exact,True,2009-03-24,2009-03-24,3.599,3.599,0.0,2010-05-20,2010-05-20,0.0,7.385,7.385,0.0,105.22,105.22,0.0,10522.0,10522.0,win,win
4,matched,exact,exact,True,2010-06-22,2010-06-22,8.373,8.373,0.0,2010-08-26,2010-08-26,0.0,8.454,8.454,0.0,0.97,0.97,0.0,97.0,97.0,win,win
4,matched,exact,exact,True,2010-09-07,2010-09-07,8.972,8.972,0.0,2011-04-28,2011-04-28,0.0,12.435,12.435,0.0,38.59,38.59,0.0,3859.0,3859.0,win,win
4,matched,exact,exact,True,2011-07-11,2011-07-11,11.735,11.735,0.0,2011-08-10,2011-08-10,0.0,10.711,10.711,0.0,-8.73,-8.73,0.0,-873.0,-873.0,lose,lose
4,matched,exact,exact,True,2012-02-02,2012-02-02,9.627,9.627,0.0,2012-04-11,2012-04-11,0.0,8.917,8.917,0.0,-7.37,-7.37,0.0,-737.0,-737.0,lose,lose
