Rule	Parameter Variable	Base	Min	Max	Step	Combs	Change
B1	input_B1_lookback	20	1	1	1	1	FALSE
B1	input_B1_bb_len	51	1	1	1	1	FALSE
B1	input_B1_bb_std	1.9	1	1	1	1	FALSE
B1	input_B1_ma_dev	0.25	1	1	1	1	FALSE
B1	input_B1_upper_range	0.65	0.55	0.75	0.1	3	FALSE
B3	input_B3_bbw_len	21	1	1	1	1	FALSE
B3	input_B3_sma_bbw	72	1	1	1	1	FALSE
B3	input_B3_LR_lookback	58	40	80	10	5	FALSE
B8	input_B8_recent_low	46	1	1	1	1	FALSE
B8	input_B8_past_low	270	1	1	1	1	FALSE
B9	input_B9_ma_len	50	1	1	1	1	FALSE
B10	input_B10_low_window	250	1	1	1	1	FALSE
B10	input_B10_prox_days	68	1	1	1	1	FALSE
B11	input_B11_atr_len	22	1	1	1	1	FALSE
B11	input_B11_history	126	1	1	1	1	FALSE
B11	input_B11_atr_threshold	0.87	0.75	0.95	0.05	5	FALSE
B12	input_B12_long_ma	150	1	1	1	1	FALSE
B12	input_B12_rise_pct	0.16	1	1	1	1	FALSE
B13	input_B13_rel_days	19	1	1	1	1	FALSE
B18	input_B18_bbw_len	21	1	1	1	1	FALSE
B18	input_B18_history	82	1	1	1	1	FALSE
B18	input_B18_bbw_ratio	0.22	0.15	0.3	0.05	4	TRUE
S1	input_S1_atr_mult	3.7	2.5	5	0.5	6	FALSE
S1	input_S1_hard_stop	9.5	1	1	1	1	FALSE
S4	input_S4_max_days	50	1	1	1	1	FALSE
S5	input_S5_step_days	25	1	1	1	1	FALSE
S5	input_S5_push_up_atr	0.62	0.4	1	0.2	4	FALSE
S9	input_S9_energy_thresh	0.22	1	1	1	1	FALSE
S10	input_S10_atr_ratio	2.6	1	1	1	1	FALSE
S10	input_S10_drawdown	0.05	1	1	1	1	FALSE
S11	input_S11_fib_level	0.382	1	1	1	1	FALSE
S12	input_S12_fib_level	0.236	1	1	1	1	FALSE
S15	input_S15_crash_drop	0.25	1	1	1	1	FALSE
